f127.0.0.1:2222,127.0.0.1:1111	1077	2	0	7	4
f127.0.0.1:2222,127.0.0.1:1111	1081	1
f127.0.0.1:1111,127.0.0.1:2222	1082	2	8	0	3
f127.0.0.1:1111,127.0.0.1:2222	1082	3	9	0	3
f127.0.0.1:1111,127.0.0.1:2222	1086	2
f127.0.0.1:2222,127.0.0.1:1111	1086	3	0	8	4
f127.0.0.1:2222,127.0.0.1:1111	1089	2
f127.0.0.1:1111,127.0.0.1:2222	1089	3	10	0	3
f127.0.0.1:1111,127.0.0.1:2222	1090	2
f127.0.0.1:2222,127.0.0.1:1111	1090	3	0	9	4
f127.0.0.1:1111,127.0.0.1:2222	1097	2
f127.0.0.1:2222,127.0.0.1:1111	1097	1
f127.0.0.1:2222,127.0.0.1:1111	1097	2	0	10	4
f127.0.0.1:1111,127.0.0.1:2222	1097	3	11	0	3
f127.0.0.1:1111,127.0.0.1:2222	1101	2
f127.0.0.1:2222,127.0.0.1:1111	1102	1
f127.0.0.1:2222,127.0.0.1:1111	1102	2	0	11	4
f127.0.0.1:1111,127.0.0.1:2222	1102	3	12	0	3
f127.0.0.1:1111,127.0.0.1:2222	1102	4	13	0	3
f127.0.0.1:1111,127.0.0.1:2222	1106	3
f127.0.0.1:2222,127.0.0.1:1111	1106	4	0	12	4
f127.0.0.1:2222,127.0.0.1:1111	1109	3
f127.0.0.1:1111,127.0.0.1:2222	1109	4	14	0	3
f127.0.0.1:1111,127.0.0.1:2222	1111	3
f127.0.0.1:2222,127.0.0.1:1111	1111	4	0	13	4
f127.0.0.1:2222,127.0.0.1:1111	1111	3
f127.0.0.1:2222,127.0.0.1:1111	1111	-1	0	13
f127.0.0.1:2222,127.0.0.1:1111	1114	2
f127.0.0.1:1111,127.0.0.1:2222	1114	3	15	0	3
f127.0.0.1:1111,127.0.0.1:2222	1117	2
f127.0.0.1:2222,127.0.0.1:1111	1118	3	0	14	4
f127.0.0.1:2222,127.0.0.1:1111	1118	2
f127.0.0.1:2222,127.0.0.1:1111	1118	-1	0	14
f127.0.0.1:1111,127.0.0.1:2222	1125	1
f127.0.0.1:2222,127.0.0.1:1111	1125	0
f127.0.0.1:2222,127.0.0.1:1111	1125	1	0	15	4
f127.0.0.1:1111,127.0.0.1:2222	1126	2	16	0	3
f127.0.0.1:1111,127.0.0.1:2222	1130	1
f127.0.0.1:2222,127.0.0.1:1111	1130	2	0	16	4
f127.0.0.1:2222,127.0.0.1:1111	1132	1
f127.0.0.1:1111,127.0.0.1:2222	1132	2	17	0	3
f127.0.0.1:1111,127.0.0.1:2222	1132	1
